customer_id,last_move,balance,currency
2092325,29/11/2012,409.25,EURO 
2092325,31/01/2013,689.18,EURO 
2092325,27/02/2013,0,EURO 
2092325,19/03/2013,493.56,EURO 
2092325,16/04/2013,0,EURO 
2092325,8/06/2013,489.05,EURO 
2092325,16/06/2013,0,EURO 
2092325,12/08/2013,106.7,EURO 
2092325,22/08/2013,0,EURO 
2092325,2/10/2013,130.64,EURO 
2092325,30/09/2013,0,EURO 
2092325,26/11/2013,326.7,EURO 
2092325,28/11/2013,0,EURO 
2092325,20/01/2014,538.83,EURO 
2092325,22/02/2014,0,EURO 
2092325,28/03/2014,508.48,EURO 
2092325,2/04/2014,0,EURO 
18348,2/12/2012,184.74,EURO 
18348,26/01/2013,446.3,EURO 
18348,20/02/2013,422.64,EURO 
18348,27/01/2013,0,EURO 
18348,15/02/2013,0,EURO 
18348,3/03/2013,0,EURO 
18348,13/03/2013,-428.24,EURO 
18348,25/02/2013,0,EURO 
18348,9/03/2013,0,EURO 
18348,4/03/2013,0,EURO 
18348,3/03/2013,0,EURO 
18348,22/02/2013,0,EURO 
18348,26/02/2013,0,EURO 
18348,21/02/2013,0,EURO 
18348,16/03/2013,0,EURO 
18348,14/03/2013,0,EURO 
18348,16/03/2013,0,EURO 
18348,12/03/2013,0,EURO 
18348,22/04/2013,0,EURO 
18348,1/05/2013,0,EURO 
18348,9/06/2013,0,EURO 
18348,13/07/2013,0,EURO 
18348,3/09/2013,0,EURO 
18348,28/10/2013,0,EURO 
18348,28/01/2014,192.82,EURO 
18348,17/02/2014,0,EURO 
18348,14/02/2014,0,EURO 
18348,10/02/2014,0,EURO 
2260128,7/11/2012,95.71,EURO 
2260128,17/02/2013,236.72,EURO 
2260128,11/03/2013,0,EURO 
2260128,9/05/2013,178.14,EURO 
2260128,29/05/2013,0,EURO 
2260128,20/06/2013,86.9,EURO 
2260128,18/07/2013,0,EURO 
2260128,1/09/2013,69.77,EURO 
2260128,17/09/2013,0,EURO 
2260128,12/11/2013,126.58,EURO 
2260128,3/11/2013,0,EURO 
2260128,25/11/2013,-108.49,EURO 
2260128,6/11/2013,0,EURO 
2260128,6/12/2013,0,EURO 
2260128,14/12/2013,0,EURO 
2260128,29/11/2013,0,EURO 
2260128,24/11/2013,0,EURO 
2260128,11/12/2013,0,EURO 
2260128,3/12/2013,0,EURO 
2111262,3/05/2012,0,EURO 
2111262,20/04/2012,0,EURO 
2111262,15/05/2012,0,EURO 
2111262,26/01/2013,0,EURO 
2111262,28/02/2013,0,EURO 
2111262,28/04/2013,0,EURO 
2111262,30/04/2013,0,EURO 
2111262,1/05/2013,0,EURO 
2111262,21/04/2013,0,EURO 
2111262,20/04/2013,0,EURO 
2111262,21/04/2013,0,EURO 
2111262,3/05/2013,0,EURO 
2111262,4/05/2013,0,EURO 
2111262,18/04/2013,0,EURO 
2111262,14/04/2013,0,EURO 
2111262,21/05/2013,0,EURO 
2111262,26/06/2013,0,EURO 
2111262,18/08/2013,0,EURO 
2111262,24/09/2013,0,EURO 
2111262,9/10/2013,0,EURO 
2111262,22/11/2013,0,EURO 
2111262,4/05/2014,-56.5,EURO 
2111262,30/04/2014,0,EURO 
2116008,19/04/2012,0,EURO 
2116008,4/05/2012,0,EURO 
2116008,3/05/2012,0,EURO 
2116008,22/01/2013,0,EURO 
2116008,6/03/2013,0,EURO 
2116008,28/04/2013,0,EURO 
2116008,7/05/2013,0,EURO 
2116008,1/05/2013,0,EURO 
2116008,25/04/2013,0,EURO 
2116008,30/04/2013,0,EURO 
2116008,8/05/2013,0,EURO 
2116008,12/05/2013,0,EURO 
2116008,11/05/2013,0,EURO 
2116008,7/05/2013,0,EURO 
2116008,7/05/2013,0,EURO 
2116008,18/05/2013,0,EURO 
2116008,12/07/2013,0,EURO 
2116008,31/08/2013,0,EURO 
2116008,31/10/2013,0,EURO 
2116008,4/05/2014,-563.36,EURO 
2116008,24/04/2014,0,EURO 
1918851,7/10/2012,234.89,EURO 
1918851,23/12/2012,353.58,EURO 
1918851,16/02/2013,474.94,EURO 
1918851,11/03/2013,0,EURO 
1918851,29/04/2013,588.05,EURO 
1918851,10/05/2013,0,EURO 
1918851,16/06/2013,222.98,EURO 
1918851,18/07/2013,0,EURO 
1918851,30/08/2013,177.61,EURO 
1918851,28/08/2013,0,EURO 
1918851,30/10/2013,214.15,EURO 
1918851,5/10/2013,222.2,EURO 
1918851,27/11/2013,0,EURO 
1918851,22/12/2013,388.83,EURO 
1918851,10/12/2013,421.64,EURO 
1918851,31/01/2014,0,EURO 
1918851,23/02/2014,650.77,EURO 
1918851,18/03/2014,0,EURO 
1918851,22/04/2014,282.69,EURO 
1918851,7/05/2014,0,EURO 
1829457,20/11/2012,158.07,EURO 
1829457,17/03/2013,187.16,EURO 
1829457,24/03/2013,0,EURO 
1829457,22/05/2013,148.99,EURO 
1829457,13/05/2013,0,EURO 
1829457,16/07/2013,205.72,EURO 
1829457,21/07/2013,0,EURO 
1829457,7/09/2013,92.63,EURO 
1829457,24/09/2013,0,EURO 
1829457,5/11/2013,133.3,EURO 
1829457,3/12/2013,0,EURO 
1829457,13/01/2014,204.85,EURO 
1829457,28/01/2014,0,EURO 
1829457,26/03/2014,259.42,EURO 
1829457,17/03/2014,0,EURO 
1829457,12/05/2014,231.2,EURO 
1829457,2/05/2014,0,EURO 
2061861,31/08/2012,-7.16,EURO 
2061861,6/11/2012,112.37,EURO 
2061861,7/01/2013,-28.05,EURO 
2061861,26/02/2013,150.03,EURO 
2061861,18/03/2013,0,EURO 
2061861,25/05/2013,71.26,EURO 
2061861,1/06/2013,0,EURO 
2061861,24/07/2013,470.23,EURO 
2061861,29/07/2013,0,EURO 
2061861,10/09/2013,58.1,EURO 
2061861,24/09/2013,0,EURO 
2061861,19/11/2013,91.85,EURO 
2061861,23/11/2013,0,EURO 
2061861,8/12/2013,-756.65,EURO 
2061861,19/01/2014,-594.05,EURO 
2061861,7/03/2014,-194.22,EURO 
2061861,29/04/2014,-76.36,EURO 
542733,30/09/2012,0,EURO 
542733,17/10/2012,0,EURO 
542733,27/09/2012,0,EURO 
542733,1/10/2012,0,EURO 
542733,26/10/2012,0,EURO 
542733,1/10/2012,0,EURO 
542733,26/10/2012,0,EURO 
542733,23/10/2012,0,EURO 
542733,9/10/2012,0,EURO 
542733,1/03/2013,0,EURO 
542733,1/04/2013,0,EURO 
542733,25/04/2013,0,EURO 
542733,28/05/2013,0,EURO 
542733,19/06/2013,0,EURO 
542733,30/07/2013,0,EURO 
542733,1/08/2013,0,EURO 
542733,1/10/2013,77.11,EURO 
542733,12/10/2013,0,EURO 
542733,8/10/2013,0,EURO 
542733,16/10/2013,0,EURO 
542733,11/10/2013,0,EURO 
542733,19/10/2013,0,EURO 
542733,18/10/2013,0,EURO 
542733,3/10/2013,0,EURO 
542733,13/10/2013,0,EURO 
1281623,22/11/2012,380.62,EURO 
1281623,16/01/2013,893.41,EURO 
1281623,13/03/2013,0,EURO 
1281623,13/03/2013,657.89,EURO 
1281623,16/04/2013,0,EURO 
1281623,15/06/2013,725.38,EURO 
1281623,6/06/2013,0,EURO 
1281623,17/07/2013,141.35,EURO 
1281623,24/07/2013,0,EURO 
1281623,22/09/2013,156.37,EURO 
1281623,9/10/2013,0,EURO 
1281623,8/12/2013,311.23,EURO 
1281623,12/12/2013,0,EURO 
1281623,23/01/2014,834.9,EURO 
1281623,31/01/2014,0,EURO 
1281623,15/03/2014,907.95,EURO 
1281623,28/03/2014,0,EURO 
3607132,9/11/2012,210.46,EURO 
3607132,25/03/2013,0,EURO 
3607132,28/03/2013,399.15,EURO 
3607132,5/03/2013,0,EURO 
3607132,30/05/2013,326.84,EURO 
3607132,7/06/2013,0,EURO 
3607132,30/07/2013,190.01,EURO 
3607132,7/08/2013,0,EURO 
3607132,29/08/2013,97.5,EURO 
3607132,29/09/2013,0,EURO 
3607132,3/11/2013,270.61,EURO 
3607132,23/11/2013,0,EURO 
3607132,22/01/2014,521.03,EURO 
3607132,24/01/2014,0,EURO 
3607132,27/02/2014,577.45,EURO 
3607132,16/03/2014,0,EURO 
3607132,4/05/2014,372.99,EURO 
3607132,29/05/2014,0,EURO 
3516064,3/10/2012,278.81,EURO 
3516064,2/12/2012,612,EURO 
3516064,2/03/2013,788.56,EURO 
3516064,28/03/2013,0,EURO 
3516064,14/04/2013,705.72,EURO 
3516064,26/04/2013,0,EURO 
3516064,5/08/2013,169.49,EURO 
3516064,26/08/2013,0,EURO 
3516064,23/10/2013,200.39,EURO 
3516064,15/10/2013,0,EURO 
3516064,3/12/2013,608.14,EURO 
3516064,14/12/2013,0,EURO 
3516064,12/02/2014,923.84,EURO 
3516064,23/02/2014,0,EURO 
3516064,1/05/2014,635.7,EURO 
3516064,1/05/2014,0,EURO 
1047758,18/10/2012,231.91,EURO 
1047758,30/12/2012,347.17,EURO 
1047758,9/02/2013,628.02,EURO 
1047758,7/03/2013,0,EURO 
1047758,29/04/2013,756.41,EURO 
1047758,29/04/2013,0,EURO 
1047758,21/08/2013,122.6,EURO 
1047758,1/09/2013,0,EURO 
1047758,4/10/2013,176.93,EURO 
1047758,2/11/2013,0,EURO 
1047758,20/12/2013,505.74,EURO 
1047758,16/12/2013,0,EURO 
1047758,21/02/2014,684.98,EURO 
1047758,8/03/2014,0,EURO 
1047758,26/04/2014,319.18,EURO 
1047758,1/05/2014,0,EURO 
954361,29/11/2012,275.54,EURO 
954361,22/01/2013,580.62,EURO 
954361,26/02/2013,0,EURO 
954361,20/03/2013,433.14,EURO 
954361,3/04/2013,0,EURO 
954361,2/06/2013,459.14,EURO 
954361,12/06/2013,0,EURO 
954361,13/07/2013,567.08,EURO 
954361,29/07/2013,0,EURO 
954361,25/09/2013,399.82,EURO 
954361,2/10/2013,0,EURO 
954361,28/11/2013,363.7,EURO 
954361,13/12/2013,0,EURO 
954361,8/01/2014,476.38,EURO 
954361,30/01/2014,0,EURO 
954361,19/03/2014,415.63,EURO 
954361,28/03/2014,0,EURO 
954361,24/05/2014,494.75,EURO 
116723,26/11/2012,265.97,EURO 
116723,6/02/2013,407.88,EURO 
116723,24/03/2013,0,EURO 
116723,14/03/2013,529.29,EURO 
116723,29/04/2013,0,EURO 
116723,29/05/2013,204.94,EURO 
116723,9/06/2013,0,EURO 
116723,8/08/2013,103.28,EURO 
116723,4/08/2013,0,EURO 
116723,15/10/2013,175.3,EURO 
116723,2/10/2013,0,EURO 
116723,14/11/2013,303.9,EURO 
116723,29/11/2013,254.4,EURO 
116723,8/01/2014,0,EURO 
116723,13/01/2014,441.49,EURO 
116723,8/02/2014,0,EURO 
116723,22/03/2014,294.95,EURO 
116723,31/03/2014,243.75,EURO 
116723,23/04/2014,0,EURO 
2352486,28/11/2012,0,EURO 
2352486,11/11/2012,8.47,EURO 
2352486,9/11/2012,0,EURO 
2352486,7/12/2012,0,EURO 
2352486,22/11/2012,0,EURO 
2352486,1/12/2012,0,EURO 
2352486,29/11/2012,0,EURO 
2352486,12/11/2012,0,EURO 
2352486,18/11/2012,0,EURO 
2352486,19/11/2012,0,EURO 
2352486,22/02/2013,0,EURO 
2352486,9/03/2013,0,EURO 
2352486,8/04/2013,0,EURO 
2352486,2/05/2013,0,EURO 
2352486,16/06/2013,0,EURO 
2352486,23/07/2013,0,EURO 
2352486,28/08/2013,0,EURO 
2352486,1/10/2013,0,EURO 
2352486,6/10/2013,66.54,EURO 
2352486,16/10/2013,59.15,EURO 
2352486,12/10/2013,0.46,EURO 
2352486,4/10/2013,0.48,EURO 
2352486,24/10/2013,72.67,EURO 
2352486,24/11/2013,68.72,EURO 
2352486,6/12/2013,0,EURO 
2352486,15/11/2013,0,EURO 
2352486,1/12/2013,0,EURO 
2352486,14/11/2013,0,EURO 
2352486,7/11/2013,0,EURO 
